date,datetime,Visites_by_hour
01/03/2014,01/03/2014 13,10
01/03/2014,01/03/2014 13,13
01/03/2014,01/03/2014 13,10
01/03/2014,01/03/2014 13,12
01/03/2014,01/03/2014 13,9
01/03/2014,01/03/2014 13,16
01/03/2014,01/03/2014 13,11
01/03/2014,01/03/2014 13,11
01/03/2014,01/03/2014 13,11
01/03/2014,01/03/2014 13,15
01/03/2014,01/03/2014 13,8
01/03/2014,01/03/2014 13,10
01/03/2014,01/03/2014 13,10
01/03/2014,01/03/2014 13,13
01/03/2014,01/03/2014 13,16
01/03/2014,01/03/2014 13,12
01/03/2014,01/03/2014 13,8
01/03/2014,01/03/2014 13,9
